dicom_id	generated
001bb54b-a4e0bb99-48a28f4c-9df85f1b-e1606587	.
017546be-84adb332-7da7d18c-635631a1-6b7dec90	pneumothorax,
03162bc4-58f25239-df872b3b-953e8272-13c77ed5	lungs
0387b3e8-c0380f4d-e5bca083-b5a42442-b39f203e	pneumothorax
05027c46-6405a26a-346180d4-0ae48945-90524df9	the
05ee817b-dd412a00-0ec114d3-9b4dfbbb-dac5455b	portable
0621ed08-b94ab3c5-b49b96bf-08eda64b-478ccc43	.
066fb40b-b40dec3e-1f66629a-e26f6044-88c35e41	is
06db5e16-c175470b-8e2b4549-5d8a087f-ea47f7b0	on
0703f7a7-b5c2521a-84eed16d-c20a78f8-632efce4	the
08d60808-2d78a83d-2757467f-8e79a0f9-d554a36a	to
093dd2e1-bc4bf8d4-68e9783d-61377da7-dbf925fc	unchanged
097b23d1-80c1433e-72156058-d40e3101-d41cb853	pleural
099fcf4d-912f2ca9-151e12ba-96d59a50-7d81b601	hilar
09cf9d33-20385de6-40b3fc27-46b93754-0f92fbda	.
09fad32c-9d4bce5d-e1328308-25844bb6-b473a856	.
0aa27a0c-405ea406-147404df-4c90753f-b9fcacba	is
0c0c6328-356ed105-d08d85dc-d48519a5-37ce609c	artifact
0f55eb03-9eb3edde-1c46e2fb-60625b8b-86fdba40	component
0ff89f65-95a04de8-2fe6671c-5fcd970e-32c68b41	mediastinal
10825f4f-af4fc4e7-5789ea8d-edee461a-557f99db	substantial
1097655b-9f690af5-6cc45124-c56f661a-27c1098b	is
11daf3da-7a6d46ba-00ba42c2-4229d81f-a9afe16f	the
13675ad4-1d7f1370-a4fa4fbe-56334043-e9dd98c6	than
13b04ab8-9ffc1631-a53713fc-d39445e1-5d7483c8	of
13e7bc7d-47ffe292-65b0bbff-536b59da-9c1239ff	atelectasis,
14740c13-6222ffd9-c9bf5b0a-b3ccd8ac-051ca7dc	abnormalities
14d954c2-ec8359c4-82c1a7f9-e52baddf-c0c2debc	improved
14dd9bc4-9b065049-d9aa2533-876fa9a7-697b22b9	is
155e0867-6925a927-7f73fa2f-6e5438bb-dc6ae8fc	and
15f235f1-7b61ddc7-8be2128c-9be3a961-5045d546	obscures
169d213b-2f84bca6-8aa335f6-cea36d65-42078285	due
16eeae50-7dc26b63-83165d1a-9aa87765-b0f3ce9e	after
17269efa-b016a94d-1361e8df-ac428071-d1133672	retrocardiac
1736cd9c-29517785-b795a13b-3169f29f-c51d4ba4	swan-
17923800-55022f4b-c285ac91-7f66c52e-0ef34030	retrocardiac
187916e3-d188558b-72755df7-f30b782d-c66c7147	enlarged
1a86bd32-36aefb0c-88e70559-28783aa2-51a017ec	clear
1e83d197-8aa168af-ab84a5b9-e2896a17-93b9757e	increased
201f453a-87d6c3b4-74bad0d8-d9b48a3c-78479e06	on
214d18cf-6a971596-00dd8cd1-d0bf54e3-710415a2	to
22870bb1-4fde6468-164753ec-a5fee0e1-30eebca1	and
2288311b-95257901-048abcb9-128804f8-0f574280	within
2295a1f1-f18de4aa-87c17dd1-c2ef3f47-824565ef	tube,
2448f842-802b5df6-4382d251-41d3d87b-513c531c	chest
247d5e7b-66c77989-ca5fec41-608aaa71-eab4c699	courses
2536b862-649ba341-7b376533-69b5df76-a4c52097	.
254619b8-ad875363-9c22e800-6d1dbdc5-9cb6cd09	right
27012cba-af707d0a-9177aa0d-3adb98e1-b2320155	ct
27e00d3f-fe3c2f0a-d8cfa281-d23b0e42-5c7860fb	
2819ff27-9fbfce01-2806ae60-9430bc2e-4d5815da	in
2966bb5c-984f864a-d4982ecf-cce81477-7dc0e981	the
2a92ee7d-b01138ad-c2f71a5d-bc931d27-1ef3cdaa	chest
2aadcb74-a5de27f8-80d89a5a-a4efad37-7e09a949	is
2c3ab1b6-b9c74b7f-d05aeeb6-13bcba65-2c7fe8b0	zone
2cd5b0dd-527a6616-cb6ad62f-c8ee94df-0b7ffd5b	lower
2da1f24a-e7d527df-4070ed74-84d2b518-aba24885	subsegmental
2e0721a1-d472da4f-df3b2da4-45546a8a-b8b97363	consistent
2ed21471-b5d88cff-2db8c243-b2728bc2-11072a27	.
2fba0adb-138f818e-6c65d0b4-b223d3d1-bf9dd943	infiltrates
2ff65d4d-0bda43d8-706768ee-9eabe372-744321cf	still
307a8f64-94a3dbab-7f530647-0411d18f-b192d56b	the
3158c5a9-7558ea80-61456487-9ab48771-961ba93d	.
315bf216-873aa821-2bfb88b5-ec312977-3f63a141	possible
32807bd2-2cb20d03-b7ffbecf-d09151c5-e97bbe7a	and
331e29b5-19a6b6be-e39f63f6-fa7c39b6-719d8508	.
33a155cf-150a7373-9fd13f2c-e4635806-5c91a778	tube
3433480a-efa34c2a-c9d355e6-274f3e5e-4576bdb4	pulmonary
3479774a-a1f0786e-6bdff723-59ed154c-ded00ad9	is
34b1ea91-443b5a50-e90f3716-ea269f59-4e8136ec	upper
350acbc7-85b7cb9f-030eeac1-1e4ff930-a29191a1	is
39126602-90118ab5-55878b06-1448b78a-e65c13d5	again
39dc3399-3465d827-7147893e-7b722be8-4559be58	left
3d42f184-b8009d79-256f7753-a6d1e351-2bd734c9	2
3d56e803-4ae22930-337f540e-d2fa1bd8-558618bf	curvature
405de008-ed61a060-044a4303-08139db4-8020e003	endotracheal
409e5a18-601eb207-025e97f2-855b3f85-2bd579f7	out
41049792-96478b1a-e64d443c-178deb8b-de559df4	ends
415c0604-18a1587a-037fe854-af6f7d87-3b69bd92	subsegmental
43991c4d-029ed86e-4e701a17-44b93555-d9a135b3	
459cfba0-0e5fabcb-a6cd2ff8-887d8f8c-59a166aa	there
4736face-6f5f0e13-4b8bac9f-49661d81-a988229c	is
48f2ad34-cd281892-45d4a75b-06401704-3f329ad4	from
49e7bc82-276f72a8-c77a5f0f-23629d64-1c2479f5	from
4cf8d6a1-c5fe806c-06d3ab76-e2616288-45ecf24e	pulmonary
4f1e36c3-f611f067-6d931e01-e193965c-e9e054f3	is
5186aa93-f71677d3-44e575e5-5315d903-692bbdf2	with
52a731ec-cabd4ad9-3294bdd5-47fb1c90-70a74aa7	pneumothorax
549dbb64-661ceba9-869aa870-24a4b9f3-16b8b071	different
54b283ed-62087899-8db8014e-199ffdfa-30a47be1	right
